composer,count
Gioachino Rossini,32
Benjamin Britten,30
Giuseppe Verdi,29
Jules Massenet,16
Hans Werner Henze,13
Nikolay Andreyevich Rimsky-Korsakov,12
Frederick Ashton,12
Richard Rodney Bennett,12
Gaetano Donizetti,9
Wolfgang Amadeus Mozart,6
George Frideric Handel,5
Richard Strauss,4
Giacomo Meyerbeer,3
Giacomo Puccini,3
Pyotr Ilyich Tchaikovsky,3
Vincenzo Bellini,2
Thomas Adès,2
Igor Stravinsky,2
Harrison Birtwistle,2
Michael Tippett,2
Umberto Giordano,2
Leoš Janáček,2
Henry Purcell,2
Alexander von Zemlinsky,2
Sergey Prokofiev,2
Charles-François Gounod,2
Luciano Berio,1
Franz Lehár,1
Georges Bizet,1
Hans Pfitzner,1
Antonín Dvorák,1
Peter Maxwell Davies,1
Karlheinz Stockhausen,1
Camille Saint-Saëns,1
Spirou Samara,1
Judith Weir,1
Aulis Sallinen,1
Dmitry Shostakovich,1
Francesco Cavalli,1
Luigi Cherubini,1
Franco Alfano,1
Paul Hindemith,1
John Browne,1
Amilcare Ponchielli,1
Alban Berg,1
Carl Maria von Weber,1
Agostino Steffani,1
Nicholas Maw,1
Friedrich Cerha,1
Arrigo Boito,1
Carl Nielsen,1
Joseph Haydn,1
Dominique Le Gendre,1
Philip Glass,1
Fromental Halévy,1
Thomas Augustine Arne,1
Charles Louis Ambroise Thomas,1
Béla Bartók,1
Erich Wolfgang Korngold,1
John Tavener,1
Alexander Goehr,1
Humphrey Searle,1
Claude Debussy,1
Stephen Sondheim,1
Lorin Maazel,1
Bohuslav Martinů,1
Mark-Anthony Turnage,1
Alex Woolf,1
Alexander Porfiryevich Borodin,1
George Gershwin,1
Engelbert Humperdinck,1
Johann Strauss,1
Joseph Maurice Ravel,1
Jean-Philippe Rameau,1
Christoph Willibald Gluck,1
